Target distance: 78, Step size: 1
1884: (x,y) = (0.216196, 17.3256)
1885: (x,y) = (-0.489667, 18.034)
1886: (x,y) = (-0.150249, 17.0933)
1887: (x,y) = (-1.08105, 17.4589)
1888: (x,y) = (-1.29798, 18.435)
1889: (x,y) = (-2.29487, 18.5138)
1890: (x,y) = (-1.47241, 17.945)
1891: (x,y) = (-0.473002, 17.9794)
1892: (x,y) = (-0.553934, 18.9761)
1893: (x,y) = (-0.280008, 18.0144)
1894: (x,y) = (-0.0254172, 17.0473)
1895: (x,y) = (0.890522, 17.4486)
1896: (x,y) = (1.61736, 18.1354)
1897: (x,y) = (0.752652, 18.6377)
1898: (x,y) = (0.157616, 17.834)
1899: (x,y) = (0.728217, 18.6552)
1900: (x,y) = (0.853345, 19.6474)
1901: (x,y) = (0.208782, 20.4119)
1902: (x,y) = (1.13039, 20.0238)
1903: (x,y) = (1.95608, 20.5879)
1904: (x,y) = (2.26833, 21.5379)
1905: (x,y) = (1.26909, 21.4992)
1906: (x,y) = (0.363205, 21.0757)
1907: (x,y) = (0.126746, 20.104)
1908: (x,y) = (0.353453, 21.078)
1909: (x,y) = (1.21598, 21.584)
1910: (x,y) = (2.12606, 21.9984)
1911: (x,y) = (3.10873, 22.1838)
1912: (x,y) = (3.9312, 21.615)
1913: (x,y) = (4.4015, 22.4975)
1914: (x,y) = (3.41553, 22.6644)
1915: (x,y) = (4.08923, 21.9254)
1916: (x,y) = (3.21462, 21.4406)
1917: (x,y) = (2.86579, 22.3778)
1918: (x,y) = (2.23228, 21.604)
1919: (x,y) = (2.74505, 22.4626)
1920: (x,y) = (3.57875, 23.0148)
1921: (x,y) = (4.13277, 22.1823)
1922: (x,y) = (4.61571, 23.0579)
1923: (x,y) = (3.97114, 23.8225)
1924: (x,y) = (3.32224, 23.0616)
1925: (x,y) = (3.26131, 24.0597)
1926: (x,y) = (2.3641, 24.5014)
1927: (x,y) = (3.30053, 24.8522)
1928: (x,y) = (4.28812, 24.6952)
1929: (x,y) = (3.58226, 25.4035)
1930: (x,y) = (3.82845, 26.3727)
1931: (x,y) = (4.10783, 27.3329)
1932: (x,y) = (4.05557, 26.3343)
1933: (x,y) = (3.11274, 26.6676)
1934: (x,y) = (2.32164, 26.0559)
1935: (x,y) = (3.30324, 25.865)
1936: (x,y) = (3.12002, 26.848)
1937: (x,y) = (2.13405, 27.015)
1938: (x,y) = (3.12646, 26.892)
1939: (x,y) = (3.21172, 25.8956)
1940: (x,y) = (2.35431, 25.381)
1941: (x,y) = (3.24048, 25.8444)
1942: (x,y) = (3.67503, 24.9437)
1943: (x,y) = (3.9157, 23.9731)
1944: (x,y) = (2.971, 23.6452)
1945: (x,y) = (2.1397, 23.0894)
1946: (x,y) = (3.10946, 22.8453)
1947: (x,y) = (2.19759, 23.2557)
1948: (x,y) = (2.50985, 24.2057)
1949: (x,y) = (1.82462, 23.4774)
1950: (x,y) = (1.00463, 22.905)
1951: (x,y) = (0.707335, 23.8598)
1952: (x,y) = (-0.278632, 24.0268)
1953: (x,y) = (0.637307, 24.4281)
1954: (x,y) = (1.60346, 24.1701)
1955: (x,y) = (0.678002, 24.5489)
1956: (x,y) = (-0.0318765, 23.8446)
1957: (x,y) = (-0.431205, 22.9278)
1958: (x,y) = (-1.43075, 22.9579)
1959: (x,y) = (-2.24243, 22.3738)
1960: (x,y) = (-1.39023, 22.897)
1961: (x,y) = (-0.411467, 23.102)
1962: (x,y) = (0.266423, 23.8372)
1963: (x,y) = (0.958914, 24.5586)
1964: (x,y) = (-0.0322133, 24.6915)
1965: (x,y) = (-0.118809, 23.6953)
1966: (x,y) = (0.583973, 24.4067)
1967: (x,y) = (0.634898, 23.408)
1968: (x,y) = (0.677153, 24.4071)
1969: (x,y) = (-0.150972, 24.9676)
1970: (x,y) = (0.431366, 24.1547)
1971: (x,y) = (1.12386, 24.8761)
1972: (x,y) = (1.17478, 23.8774)
1973: (x,y) = (2.15639, 23.6865)
1974: (x,y) = (3.03991, 23.2181)
1975: (x,y) = (2.50635, 24.0638)
1976: (x,y) = (1.68636, 23.4915)
1977: (x,y) = (2.53559, 22.9634)
1978: (x,y) = (2.67495, 21.9732)
1979: (x,y) = (3.50064, 22.5373)
1980: (x,y) = (4.03786, 21.6939)
1981: (x,y) = (3.54617, 20.8231)
1982: (x,y) = (2.66469, 21.2953)
1983: (x,y) = (2.11904, 22.1333)
1984: (x,y) = (2.01814, 21.1384)
1985: (x,y) = (1.58751, 20.2359)
1986: (x,y) = (2.46693, 20.7119)
1987: (x,y) = (1.83783, 21.4893)
1988: (x,y) = (1.18235, 22.2445)
1989: (x,y) = (0.382541, 21.6442)
1990: (x,y) = (1.37859, 21.5555)
1991: (x,y) = (0.415081, 21.8231)
1992: (x,y) = (1.24563, 21.2662)
1993: (x,y) = (1.9861, 21.9383)
1994: (x,y) = (1.22946, 21.2844)
1995: (x,y) = (0.993002, 20.3128)
1996: (x,y) = (1.38312, 21.2336)
1997: (x,y) = (2.34546, 21.5054)
1998: (x,y) = (2.46495, 20.5126)
1999: (x,y) = (1.56149, 20.9412)
2000: (x,y) = (0.612174, 21.2556)
2001: (x,y) = (0.00565558, 20.4605)
2002: (x,y) = (0.626938, 19.6769)
2003: (x,y) = (-0.372311, 19.6382)
2004: (x,y) = (-1.11948, 18.9735)
2005: (x,y) = (-0.766582, 18.0379)
2006: (x,y) = (-0.200659, 17.2134)
2007: (x,y) = (-0.144058, 18.2118)
2008: (x,y) = (0.814281, 18.4974)
2009: (x,y) = (1.68117, 17.9989)
2010: (x,y) = (1.13552, 18.8369)
2011: (x,y) = (1.36222, 19.8109)
2012: (x,y) = (0.605589, 19.1571)
2013: (x,y) = (1.52939, 19.5399)
2014: (x,y) = (2.13935, 18.7475)
2015: (x,y) = (1.53283, 17.9524)
2016: (x,y) = (2.49117, 18.2381)
2017: (x,y) = (3.40482, 17.8315)
2018: (x,y) = (3.07484, 18.7755)
2019: (x,y) = (2.14939, 19.1544)
2020: (x,y) = (2.65728, 18.293)
2021: (x,y) = (1.80735, 17.7661)
2022: (x,y) = (2.15211, 18.7048)
2023: (x,y) = (2.27159, 17.7119)
2024: (x,y) = (3.24272, 17.9505)
2025: (x,y) = (4.00587, 18.5967)
2026: (x,y) = (3.0076, 18.538)
2027: (x,y) = (3.16679, 19.5252)
2028: (x,y) = (2.20722, 19.8067)
2029: (x,y) = (1.85839, 20.7439)
2030: (x,y) = (2.81509, 20.4528)
2031: (x,y) = (3.10824, 21.4088)
2032: (x,y) = (4.06494, 21.1178)
2033: (x,y) = (4.58999, 20.2667)
2034: (x,y) = (4.36751, 19.2918)
2035: (x,y) = (5.06624, 18.5764)
2036: (x,y) = (6.01691, 18.2662)
2037: (x,y) = (5.16698, 17.7393)
2038: (x,y) = (5.79271, 18.5193)
2039: (x,y) = (5.34915, 19.4156)
2040: (x,y) = (5.87421, 18.5645)
2041: (x,y) = (6.08134, 17.5862)
2042: (x,y) = (5.11632, 17.324)
2043: (x,y) = (5.11849, 16.324)
2044: (x,y) = (5.70544, 17.1336)
2045: (x,y) = (4.90906, 17.7384)
2046: (x,y) = (4.09234, 18.3155)
2047: (x,y) = (4.25153, 19.3027)
2048: (x,y) = (3.73017, 18.4494)
2049: (x,y) = (4.70893, 18.6544)
2050: (x,y) = (5.62258, 18.2479)
2051: (x,y) = (4.63568, 18.0865)
2052: (x,y) = (3.93599, 17.3721)
2053: (x,y) = (4.46587, 18.2202)
2054: (x,y) = (3.65419, 17.6361)
2055: (x,y) = (4.62864, 17.4115)
2056: (x,y) = (3.72894, 16.975)
2057: (x,y) = (4.38113, 17.733)
2058: (x,y) = (4.75798, 18.6593)
2059: (x,y) = (5.69935, 18.9967)
2060: (x,y) = (5.51055, 18.0146)
2061: (x,y) = (4.57975, 18.3802)
2062: (x,y) = (3.59527, 18.2047)
2063: (x,y) = (4.59527, 18.2047)
2064: (x,y) = (3.71112, 17.7375)
2065: (x,y) = (3.58168, 18.7291)
2066: (x,y) = (4.28041, 18.0137)
2067: (x,y) = (4.89037, 17.2213)
2068: (x,y) = (5.24858, 18.1549)
2069: (x,y) = (4.82308, 19.0599)
2070: (x,y) = (3.82949, 19.1729)
2071: (x,y) = (4.81216, 19.3582)
2072: (x,y) = (3.99544, 19.9353)
2073: (x,y) = (4.98391, 20.0867)
2074: (x,y) = (5.17139, 19.1044)
2075: (x,y) = (4.29678, 18.6196)
2076: (x,y) = (4.10798, 17.6376)
2077: (x,y) = (3.10971, 17.5788)
2078: (x,y) = (3.90346, 18.1871)
2079: (x,y) = (3.48583, 17.2784)
2080: (x,y) = (2.5304, 16.9832)
2081: (x,y) = (1.98476, 17.8212)
2082: (x,y) = (2.04136, 18.8196)
2083: (x,y) = (1.05539, 18.9866)
2084: (x,y) = (1.37588, 18.0393)
2085: (x,y) = (1.9131, 17.1959)
2086: (x,y) = (0.936449, 17.4107)
2087: (x,y) = (0.119728, 17.9877)
2088: (x,y) = (-0.0437452, 18.9743)
2089: (x,y) = (0.912955, 18.6832)
2090: (x,y) = (0.949529, 17.6839)
2091: (x,y) = (0.505975, 18.5801)
2092: (x,y) = (-0.375508, 19.0523)
2093: (x,y) = (-0.756376, 19.9769)
2094: (x,y) = (-1.2305, 20.8574)
2095: (x,y) = (-1.5278, 21.8122)
2096: (x,y) = (-0.768337, 21.1616)
2097: (x,y) = (-1.76833, 21.1573)
2098: (x,y) = (-1.37821, 22.0781)
2099: (x,y) = (-0.498785, 22.5541)
2100: (x,y) = (0.0835523, 21.7412)
2101: (x,y) = (-0.408132, 20.8704)
2102: (x,y) = (-1.24422, 21.419)
2103: (x,y) = (-2.18412, 21.0775)
2104: (x,y) = (-1.1856, 21.0231)
2105: (x,y) = (-0.972908, 22.0002)
2106: (x,y) = (-1.89058, 22.3975)
2107: (x,y) = (-0.919454, 22.6361)
2108: (x,y) = (0.0632184, 22.8215)
2109: (x,y) = (-0.897936, 22.5454)
2110: (x,y) = (-1.05284, 21.5575)
2111: (x,y) = (-0.339911, 20.8563)
2112: (x,y) = (-0.113204, 21.8302)
2113: (x,y) = (0.864374, 21.6197)
2114: (x,y) = (0.144452, 22.3137)
2115: (x,y) = (1.1068, 22.5856)
2116: (x,y) = (1.77406, 23.3304)
2117: (x,y) = (2.39978, 24.1104)
2118: (x,y) = (1.45696, 24.4437)
2119: (x,y) = (0.531503, 24.8226)
2120: (x,y) = (1.35719, 25.3867)
2121: (x,y) = (0.357197, 25.3824)
2122: (x,y) = (0.46241, 24.3879)
2123: (x,y) = (0.865714, 23.4729)
2124: (x,y) = (1.25059, 22.5499)
2125: (x,y) = (0.462977, 23.1661)
2126: (x,y) = (1.0887, 23.9461)
2127: (x,y) = (0.953636, 22.9553)
2128: (x,y) = (1.74392, 22.3425)
2129: (x,y) = (1.26979, 23.223)
2130: (x,y) = (2.05472, 23.8426)
2131: (x,y) = (2.94089, 24.3059)
2132: (x,y) = (2.65734, 25.2649)
2133: (x,y) = (1.69232, 25.0027)
2134: (x,y) = (1.01763, 24.2646)
2135: (x,y) = (0.160219, 23.75)
2136: (x,y) = (1.08402, 24.1328)
2137: (x,y) = (1.9097, 24.697)
2138: (x,y) = (1.22448, 23.9686)
2139: (x,y) = (1.95132, 24.6554)
2140: (x,y) = (2.87841, 24.2806)
2141: (x,y) = (2.13504, 24.9495)
2142: (x,y) = (3.13483, 24.9294)
2143: (x,y) = (3.5564, 25.8362)
2144: (x,y) = (2.96137, 25.0325)
2145: (x,y) = (2.49993, 24.1453)
2146: (x,y) = (2.65912, 25.1326)
2147: (x,y) = (3.0307, 24.2042)
2148: (x,y) = (3.43401, 23.2891)
2149: (x,y) = (4.41561, 23.0982)
2150: (x,y) = (3.46018, 22.803)
2151: (x,y) = (4.3094, 22.2749)
2152: (x,y) = (3.30945, 22.285)
2153: (x,y) = (2.55282, 21.6311)
2154: (x,y) = (3.49419, 21.9685)
2155: (x,y) = (2.74702, 21.3039)
2156: (x,y) = (3.74583, 21.3526)
2157: (x,y) = (4.0717, 22.298)
2158: (x,y) = (3.44937, 21.5153)
2159: (x,y) = (3.54029, 22.5111)
2160: (x,y) = (3.86078, 21.5639)
2161: (x,y) = (4.06792, 20.5856)
2162: (x,y) = (3.20036, 20.0882)
2163: (x,y) = (2.40398, 20.693)
2164: (x,y) = (1.9476, 21.5828)
2165: (x,y) = (1.98985, 22.5819)
2166: (x,y) = (2.98453, 22.685)
2167: (x,y) = (2.11981, 23.1872)
2168: (x,y) = (1.47092, 22.4264)
2169: (x,y) = (0.864397, 21.6313)
2170: (x,y) = (1.21729, 20.6956)
2171: (x,y) = (2.05884, 20.1554)
2172: (x,y) = (1.58471, 21.0359)
2173: (x,y) = (2.08017, 20.1673)
2174: (x,y) = (2.92477, 20.7027)
2175: (x,y) = (3.92418, 20.7371)
2176: (x,y) = (2.92493, 20.6983)
2177: (x,y) = (2.19124, 20.0188)
2178: (x,y) = (2.94128, 20.6802)
2179: (x,y) = (2.35083, 21.4873)
2180: (x,y) = (3.11029, 20.8367)
2181: (x,y) = (4.02394, 20.4302)
2182: (x,y) = (3.09634, 20.0566)
2183: (x,y) = (2.7288, 19.1266)
2184: (x,y) = (1.85419, 18.6418)
2185: (x,y) = (1.10702, 17.9772)
2186: (x,y) = (0.602881, 18.8408)
2187: (x,y) = (1.36235, 18.1902)
2188: (x,y) = (2.10281, 18.8623)
2189: (x,y) = (3.10222, 18.8967)
2190: (x,y) = (2.22074, 19.3689)
2191: (x,y) = (3.16686, 19.0451)
2192: (x,y) = (4.01906, 19.5683)
2193: (x,y) = (4.99782, 19.7733)
2194: (x,y) = (4.30221, 20.4918)
2195: (x,y) = (4.09932, 19.5126)
2196: (x,y) = (3.93585, 20.4991)
2197: (x,y) = (3.1699, 21.142)
2198: (x,y) = (3.83716, 21.8868)
2199: (x,y) = (3.85937, 22.8866)
2200: (x,y) = (3.35523, 23.7502)
2201: (x,y) = (4.34282, 23.5932)
2202: (x,y) = (4.90157, 24.4225)
2203: (x,y) = (4.38022, 23.5692)
2204: (x,y) = (5.16515, 24.1887)
2205: (x,y) = (5.01586, 25.1775)
2206: (x,y) = (4.52418, 24.3068)
2207: (x,y) = (3.91766, 23.5117)
2208: (x,y) = (4.27587, 24.4453)
2209: (x,y) = (5.14557, 24.9389)
2210: (x,y) = (4.86202, 25.8979)
2211: (x,y) = (5.72455, 26.4039)
2212: (x,y) = (6.67697, 26.7087)
2213: (x,y) = (7.20685, 27.5567)
2214: (x,y) = (8.10213, 28.0022)
2215: (x,y) = (7.41691, 27.2739)
2216: (x,y) = (8.21066, 27.8821)
2217: (x,y) = (7.37457, 28.4307)
2218: (x,y) = (7.77787, 27.5157)
2219: (x,y) = (7.95682, 28.4995)
2220: (x,y) = (7.72036, 27.5279)
2221: (x,y) = (7.76261, 28.527)
2222: (x,y) = (6.78298, 28.7278)
2223: (x,y) = (7.57673, 29.336)
2224: (x,y) = (7.41325, 30.3225)
2225: (x,y) = (8.02771, 31.1115)
2226: (x,y) = (8.46226, 30.2108)
2227: (x,y) = (9.08354, 29.4273)
2228: (x,y) = (8.10568, 29.218)
2229: (x,y) = (9.06646, 28.9407)
2230: (x,y) = (9.74435, 29.6759)
2231: (x,y) = (10.2147, 30.5584)
2232: (x,y) = (10.1681, 31.5573)
2233: (x,y) = (9.93713, 32.5302)
2234: (x,y) = (10.445, 31.6688)
2235: (x,y) = (9.95333, 30.7981)
2236: (x,y) = (10.5902, 30.0271)
2237: (x,y) = (10.9431, 29.0914)
2238: (x,y) = (10.549, 30.0105)
2239: (x,y) = (9.93111, 30.7968)
2240: (x,y) = (10.6998, 30.1572)
2241: (x,y) = (11.5414, 29.617)
2242: (x,y) = (11.4748, 28.6192)
2243: (x,y) = (12.4019, 28.2444)
2244: (x,y) = (11.7208, 28.9766)
2245: (x,y) = (12.1057, 28.0536)
2246: (x,y) = (12.7794, 27.3146)
2247: (x,y) = (11.7882, 27.4475)
2248: (x,y) = (10.8328, 27.1523)
2249: (x,y) = (10.6299, 26.1731)
2250: (x,y) = (11.6152, 26.3443)
2251: (x,y) = (11.5542, 27.3425)
2252: (x,y) = (11.4933, 28.3406)
2253: (x,y) = (10.4933, 28.3363)
2254: (x,y) = (9.97195, 27.4829)
2255: (x,y) = (9.05204, 27.0908)
2256: (x,y) = (8.5906, 26.2036)
2257: (x,y) = (7.59549, 26.3024)
2258: (x,y) = (7.40669, 25.3204)
2259: (x,y) = (6.40744, 25.2816)
2260: (x,y) = (6.54681, 24.2914)
2261: (x,y) = (7.13375, 25.101)
2262: (x,y) = (6.86401, 24.1381)
2263: (x,y) = (7.84668, 24.3234)
2264: (x,y) = (7.76008, 23.3272)
2265: (x,y) = (8.32601, 22.5027)
2266: (x,y) = (8.00424, 21.5559)
2267: (x,y) = (8.81513, 20.9707)
2268: (x,y) = (8.39751, 20.0621)
2269: (x,y) = (7.86395, 20.9079)
2270: (x,y) = (7.64702, 21.884)
2271: (x,y) = (6.83534, 21.2999)
2272: (x,y) = (5.89063, 20.972)
2273: (x,y) = (5.44708, 21.8683)
2274: (x,y) = (6.13546, 21.1429)
2275: (x,y) = (6.31441, 22.1268)
2276: (x,y) = (6.82718, 22.9853)
2277: (x,y) = (6.93239, 21.9908)
2278: (x,y) = (6.79733, 21)
2279: (x,y) = (7.79496, 21.0688)
2280: (x,y) = (8.00209, 20.0905)
2281: (x,y) = (8.07303, 19.093)
2282: (x,y) = (7.9436, 20.0846)
2283: (x,y) = (8.84519, 20.5172)
2284: (x,y) = (7.91759, 20.1436)
2285: (x,y) = (8.84468, 19.7687)
2286: (x,y) = (9.6939, 19.2407)
2287: (x,y) = (9.61297, 20.2374)
2288: (x,y) = (9.61514, 19.2374)
2289: (x,y) = (9.07679, 18.3947)
2290: (x,y) = (9.98687, 18.8091)
2291: (x,y) = (8.99693, 18.6676)
2292: (x,y) = (9.55095, 17.8351)
2293: (x,y) = (9.73844, 16.8528)
2294: (x,y) = (8.88103, 16.3382)
2295: (x,y) = (8.10234, 15.7108)
2296: (x,y) = (9.05904, 15.4197)
2297: (x,y) = (8.19149, 14.9224)
2298: (x,y) = (8.54438, 13.9867)
2299: (x,y) = (8.02303, 13.1334)
2300: (x,y) = (8.16802, 14.1228)
2301: (x,y) = (8.89487, 14.8096)
2302: (x,y) = (7.96727, 14.436)
2303: (x,y) = (8.8467, 14.9121)
2304: (x,y) = (8.62422, 13.9371)
2305: (x,y) = (7.65553, 14.1854)
2306: (x,y) = (7.18141, 15.0659)
2307: (x,y) = (7.90433, 14.3749)
2308: (x,y) = (8.0152, 15.3688)
2309: (x,y) = (7.37063, 16.1333)
2310: (x,y) = (7.74749, 17.0596)
2311: (x,y) = (8.70983, 17.3314)
2312: (x,y) = (9.42673, 18.0286)
2313: (x,y) = (8.42772, 18.073)
2314: (x,y) = (9.15456, 18.7598)
2315: (x,y) = (10.1522, 18.8286)
2316: (x,y) = (10.0314, 17.8359)
2317: (x,y) = (9.54465, 18.7095)
2318: (x,y) = (8.58349, 18.4335)
2319: (x,y) = (8.77098, 17.4512)
2320: (x,y) = (9.76407, 17.5685)
2321: (x,y) = (9.13055, 16.7948)
2322: (x,y) = (8.61406, 17.6511)
2323: (x,y) = (9.14394, 18.4992)
2324: (x,y) = (8.95514, 17.5172)
2325: (x,y) = (9.13409, 18.501)
2326: (x,y) = (10.0294, 18.9465)
2327: (x,y) = (9.72665, 17.9934)
2328: (x,y) = (10.4045, 18.7286)
2329: (x,y) = (11.2461, 18.1884)
2330: (x,y) = (10.5906, 18.9436)
2331: (x,y) = (9.9615, 19.7209)
2332: (x,y) = (9.45736, 20.5846)
2333: (x,y) = (10.4235, 20.3266)
2334: (x,y) = (9.44686, 20.5414)
2335: (x,y) = (10.333, 21.0048)
2336: (x,y) = (9.46119, 21.4945)
2337: (x,y) = (10.2754, 22.0751)
2338: (x,y) = (10.2145, 23.0733)
2339: (x,y) = (11.1651, 22.7631)
2340: (x,y) = (10.1965, 23.0114)
2341: (x,y) = (9.20734, 23.1585)
2342: (x,y) = (8.91004, 24.1133)
2343: (x,y) = (9.64667, 23.437)
2344: (x,y) = (9.53149, 24.4303)
2345: (x,y) = (9.32861, 23.4511)
2346: (x,y) = (10.11, 22.8271)
2347: (x,y) = (9.81271, 23.7819)
2348: (x,y) = (10.6989, 24.2452)
2349: (x,y) = (9.72222, 24.4601)
2350: (x,y) = (10.4854, 25.1063)
2351: (x,y) = (11.3111, 25.6704)
2352: (x,y) = (12.096, 26.29)
2353: (x,y) = (12.0781, 25.2901)
2354: (x,y) = (11.1505, 24.9165)
2355: (x,y) = (11.7874, 24.1456)
2356: (x,y) = (12.7872, 24.1255)
2357: (x,y) = (12.2658, 23.2722)
2358: (x,y) = (11.3382, 22.8986)
2359: (x,y) = (12.0307, 23.62)
2360: (x,y) = (12.7191, 22.8947)
2361: (x,y) = (12.6725, 23.8936)
2362: (x,y) = (12.9271, 22.9265)
2363: (x,y) = (13.2065, 23.8867)
2364: (x,y) = (13.4192, 24.8638)
2365: (x,y) = (13.2023, 25.84)
2366: (x,y) = (12.3449, 25.3254)
2367: (x,y) = (13.2585, 24.9189)
2368: (x,y) = (12.5151, 25.5877)
2369: (x,y) = (13.1296, 26.3767)
2370: (x,y) = (13.3423, 27.3538)
2371: (x,y) = (13.968, 28.1339)
2372: (x,y) = (14.8447, 27.6528)
2373: (x,y) = (13.8797, 27.3906)
2374: (x,y) = (14.8682, 27.5421)
2375: (x,y) = (15.2129, 28.4808)
2376: (x,y) = (15.152, 29.4789)
2377: (x,y) = (16.0189, 28.9804)
2378: (x,y) = (16.2735, 28.0133)
2379: (x,y) = (15.757, 28.8696)
2380: (x,y) = (14.91, 29.4014)
2381: (x,y) = (15.0352, 30.3935)
2382: (x,y) = (14.9143, 29.4008)
2383: (x,y) = (15.3489, 28.5002)
2384: (x,y) = (16.3483, 28.5346)
2385: (x,y) = (15.6146, 27.8551)
2386: (x,y) = (16.607, 27.7321)
2387: (x,y) = (17.6069, 27.7465)
2388: (x,y) = (17.4096, 28.7268)
2389: (x,y) = (16.5037, 28.3033)
2390: (x,y) = (15.586, 28.7006)
2391: (x,y) = (14.6225, 28.9683)
2392: (x,y) = (15.3253, 29.6797)
2393: (x,y) = (15.2988, 30.6793)
2394: (x,y) = (16.2685, 30.4353)
2395: (x,y) = (15.635, 29.6615)
2396: (x,y) = (14.6649, 29.4188)
2397: (x,y) = (13.7741, 28.9643)
2398: (x,y) = (12.9955, 28.3369)
2399: (x,y) = (13.1405, 29.3263)
2400: (x,y) = (14.1335, 29.4436)
2401: (x,y) = (14.581, 28.5493)
2402: (x,y) = (14.0893, 27.6786)
2403: (x,y) = (15.0287, 27.3358)
2404: (x,y) = (14.5197, 26.4751)
2405: (x,y) = (14.1979, 25.5283)
2406: (x,y) = (13.2213, 25.7431)
2407: (x,y) = (14.178, 25.452)
2408: (x,y) = (13.5556, 24.6693)
2409: (x,y) = (13.3387, 25.6455)
2410: (x,y) = (12.4888, 25.1186)
2411: (x,y) = (11.8597, 25.8959)
2412: (x,y) = (10.8678, 25.7686)
2413: (x,y) = (10.2613, 24.9735)
2414: (x,y) = (9.27016, 25.1064)
2415: (x,y) = (9.55788, 24.1487)
2416: (x,y) = (9.42844, 25.1403)
2417: (x,y) = (8.43155, 25.2191)
2418: (x,y) = (8.92701, 24.3504)
2419: (x,y) = (9.52096, 23.5459)
2420: (x,y) = (8.90309, 24.3322)
2421: (x,y) = (8.61953, 25.2912)
2422: (x,y) = (8.10304, 26.1475)
2423: (x,y) = (7.10615, 26.2262)
2424: (x,y) = (6.15506, 25.9173)
2425: (x,y) = (5.66833, 26.7909)
2426: (x,y) = (6.36082, 27.5123)
2427: (x,y) = (5.49611, 28.0146)
2428: (x,y) = (5.7755, 28.9747)
2429: (x,y) = (6.75121, 29.1938)
2430: (x,y) = (7.68563, 28.8376)
2431: (x,y) = (7.63904, 29.8365)
2432: (x,y) = (8.3985, 29.186)
2433: (x,y) = (7.65134, 28.5213)
2434: (x,y) = (7.77647, 29.5135)
2435: (x,y) = (8.37042, 28.709)
2436: (x,y) = (7.73691, 27.9353)
2437: (x,y) = (7.40158, 26.9932)
2438: (x,y) = (7.89703, 26.1245)
2439: (x,y) = (7.02948, 25.6272)
2440: (x,y) = (8.02189, 25.5042)
2441: (x,y) = (7.83309, 24.5222)
2442: (x,y) = (8.81469, 24.3313)
2443: (x,y) = (9.12154, 23.3795)
2444: (x,y) = (8.31319, 23.9682)
2445: (x,y) = (7.32408, 24.1153)
2446: (x,y) = (6.63885, 23.387)
2447: (x,y) = (6.15973, 22.5093)
2448: (x,y) = (6.0788, 23.506)
2449: (x,y) = (6.14973, 22.5085)
2450: (x,y) = (5.19864, 22.1996)
2451: (x,y) = (4.48877, 21.4953)
2452: (x,y) = (3.87089, 22.2815)
2453: (x,y) = (4.06395, 23.2627)
2454: (x,y) = (4.8271, 23.9089)
2455: (x,y) = (5.10649, 24.8691)
2456: (x,y) = (4.1554, 24.5602)
2457: (x,y) = (4.04023, 25.5536)
2458: (x,y) = (3.31637, 24.8636)
2459: (x,y) = (3.52351, 23.8853)
2460: (x,y) = (2.74483, 23.2579)
2461: (x,y) = (3.41853, 22.5189)
2462: (x,y) = (2.88497, 23.3646)
2463: (x,y) = (3.1589, 22.4029)
2464: (x,y) = (3.53048, 21.4745)
2465: (x,y) = (2.6246, 21.0509)
2466: (x,y) = (2.19396, 20.1484)
2467: (x,y) = (2.19613, 19.1484)
2468: (x,y) = (1.27621, 18.7563)
2469: (x,y) = (0.27889, 18.6832)
2470: (x,y) = (-0.365673, 19.4478)
2471: (x,y) = (-1.31676, 19.1388)
2472: (x,y) = (-2.23668, 18.7467)
2473: (x,y) = (-2.89644, 17.9952)
2474: (x,y) = (-3.49147, 17.1915)
2475: (x,y) = (-2.51702, 16.967)
2476: (x,y) = (-3.36394, 17.4987)
2477: (x,y) = (-4.24809, 17.0315)
2478: (x,y) = (-3.33445, 16.625)
2479: (x,y) = (-3.76509, 15.7224)
2480: (x,y) = (-4.43557, 16.4644)
2481: (x,y) = (-5.4329, 16.3913)
2482: (x,y) = (-5.76287, 17.3352)
2483: (x,y) = (-5.93195, 16.3496)
2484: (x,y) = (-4.94927, 16.535)
2485: (x,y) = (-5.17175, 15.5601)
2486: (x,y) = (-4.27264, 15.1223)
2487: (x,y) = (-5.05132, 14.4949)
2488: (x,y) = (-5.24864, 15.4753)
2489: (x,y) = (-4.51201, 14.799)
2490: (x,y) = (-4.84734, 13.8569)
2491: (x,y) = (-4.07861, 13.2173)
2492: (x,y) = (-3.19244, 13.6807)
2493: (x,y) = (-2.21672, 13.8997)
2494: (x,y) = (-2.41961, 12.9205)
2495: (x,y) = (-2.02949, 13.8413)
2496: (x,y) = (-2.79908, 13.2027)
2497: (x,y) = (-3.59547, 13.8075)
2498: (x,y) = (-2.67386, 13.4194)
2499: (x,y) = (-3.65983, 13.5863)
2500: (x,y) = (-3.56891, 14.5822)
2501: (x,y) = (-4.38889, 14.0098)
2502: (x,y) = (-3.44095, 14.3283)
2503: (x,y) = (-3.1341, 13.3765)
2504: (x,y) = (-3.02323, 14.3703)
2505: (x,y) = (-2.04447, 14.5754)
2506: (x,y) = (-1.95922, 13.579)
2507: (x,y) = (-2.55425, 12.7753)
2508: (x,y) = (-3.32384, 12.1368)
2509: (x,y) = (-2.33537, 12.2882)
2510: (x,y) = (-3.03506, 11.5737)
2511: (x,y) = (-3.23238, 12.5541)
2512: (x,y) = (-2.69516, 11.7106)
2513: (x,y) = (-1.72901, 11.4526)
2514: (x,y) = (-2.05898, 12.3966)
2515: (x,y) = (-1.25658, 11.7999)
2516: (x,y) = (-0.256578, 11.7999)
2517: (x,y) = (-1.17649, 11.4077)
